epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,804.759,1.69793,3.04141,1.79577,0.58197,0.28641,0.32696,0.14127,1.81865,3.14825,1.9695,0.000329114,0.000329114,0.000329114
2,1596.32,1.63673,2.28895,1.72038,0.3273,0.33028,0.17071,0.07181,2.35354,5.29578,2.66673,0.000629656,0.000629656,0.000629656
3,2389.6,1.60725,2.13093,1.69418,0.27926,0.52942,0.3099,0.12477,1.96305,2.8909,2.16215,0.000897198,0.000897198,0.000897198
4,3177.44,1.59708,2.03975,1.68779,0.4404,0.3186,0.26511,0.11111,2.16172,3.27496,2.33431,0.0008515,0.0008515,0.0008515
5,3852.56,1.55187,1.93728,1.65174,0.45001,0.48366,0.51902,0.22983,1.80894,2.29659,1.99475,0.000802,0.000802,0.000802
6,4502.08,1.51376,1.8448,1.61974,0.80442,0.41391,0.54903,0.24252,1.79779,2.26807,1.98859,0.0007525,0.0007525,0.0007525
7,5139.46,1.49119,1.74863,1.58584,0.4995,0.52877,0.51696,0.24202,1.72373,2.10548,1.83046,0.000703,0.000703,0.000703
8,5851.8,1.48536,1.71365,1.57945,0.57617,0.49689,0.52477,0.25605,1.74333,2.12882,1.8452,0.0006535,0.0006535,0.0006535
9,6631.98,1.44778,1.69305,1.5699,0.53821,0.56195,0.60925,0.28326,1.68775,1.92918,1.82834,0.000604,0.000604,0.000604
10,7418.66,1.43687,1.61896,1.56034,0.78273,0.54381,0.67198,0.33947,1.6681,1.67588,1.75051,0.0005545,0.0005545,0.0005545
11,8189.46,1.51495,1.75594,1.67007,0.62489,0.61409,0.65393,0.33095,1.64076,1.76252,1.74706,0.000505,0.000505,0.000505
12,8966.36,1.45426,1.63625,1.64061,0.69198,0.55417,0.64605,0.32612,1.60966,1.757,1.79316,0.0004555,0.0004555,0.0004555
13,9608.79,1.44025,1.57789,1.6355,0.74601,0.60156,0.6694,0.3463,1.55732,1.61152,1.69118,0.000406,0.000406,0.000406
14,10241.8,1.38721,1.52049,1.59745,0.60739,0.64745,0.67569,0.35095,1.60376,1.63161,1.74877,0.0003565,0.0003565,0.0003565
15,10881.2,1.372,1.47086,1.58134,0.64899,0.65931,0.69517,0.37386,1.53694,1.57441,1.69663,0.000307,0.000307,0.000307
16,11535.6,1.36168,1.43279,1.57322,0.63437,0.65746,0.69124,0.36711,1.55375,1.524,1.67802,0.0002575,0.0002575,0.0002575
17,12273.3,1.3427,1.38142,1.56323,0.74087,0.61872,0.70423,0.36741,1.5566,1.52871,1.68113,0.000208,0.000208,0.000208
18,13058.9,1.31029,1.34152,1.52895,0.6436,0.67342,0.71964,0.38613,1.52763,1.47302,1.67626,0.0001585,0.0001585,0.0001585
19,13835.1,1.293,1.30366,1.52277,0.64965,0.69631,0.726,0.39877,1.48655,1.4522,1.62629,0.000109,0.000109,0.000109
20,14629.5,1.27606,1.2757,1.48993,0.69376,0.69754,0.74662,0.40929,1.4828,1.4442,1.62591,5.95e-05,5.95e-05,5.95e-05
